text,class
A Ferrara la terra trema! Sembra non ci siano danni solo una gran paura! #terremoto,no damage
Altra scossa di assestamento....,no damage
Terremoto??i miei cani dormivano beatamente..,not relevant
Ancora un altro #terremoto !! Non bastava quello di 20 mins fa!??,not relevant
Incredibilmente vicino #allertameteoSAR Il maltempo fa strage in Sardegna. Nove morti e diversi dispersi http://t.co/P1OKdTvzYy,damage
Altra scossa avvertita a pochi passi da Rimini molto più leggera...,no damage
Uffa di nuovo una scossa di #terremoto.,no damage
Io tremo tutta sia dalla paura che per il terremoto,no damage
Noooo altri morti oggi per il #terremoto ! Ma che sta succedendo???,damage
#terremoto altra scossa piccola a bologna,no damage
#terremoto stavo per riaddormentarmi...mamma mia che paura!,no damage
Avete rotto il cazzo con la storia del crollo del ponte di Terralba #bastabufale #allertameteoSAR,no damage
Altra scossa e Leo si rifugia sotto al tavolo,not relevant
#terremoto 2° scossa di assestamento,no damage
Altra scossa altra paura!!!,no damage
leggera scossa qualche minuto fa ....e da voi ?,no damage
#Terremoto provincia vr percepito abbastanza fortenessun danno,no damage
Ancora scossa #terremoto a verona. Più corta e meno forte. Ma percepita,no damage
Nessuno ha ancora detto che è un #Terremoto di Stato?,not relevant
Terremoto in Emilia Romagna Veneto e Toscana tutta la mia stanza ha tremato!,no damage
Di nuovo terremoto,not relevant
altra scossa a verona. #Terremoto,no damage
Venezia...altra scossa di #terremoto,no damage
Terremoto scossa di magnitudo 5.9 Epicentro a 36 km a nord di Bologna #Tano.,no damage
#terremoto altra scossetta! Minchiaaa,no damage
#terremoto A Modena tutti in strada!!!!,no damage
Ancora una forte scossa #terremoto,no damage
Altra scossa #terremoto #Verona,no damage
Altra scossa forte ora cazzo,no damage
Nuova scossa...... Addio sonno!,no damage
Assestamento...#terremoto,no damage
Ancora!! E checcazzo :( #terremoto,no damage
Maltempo in Sardegna Cappellacci: 14 morti. "Situazione tragica"http://t.co/6DNpADofkc #Sardegna #allertameteoSAR",damage
ancora Terremoto,not relevant
Terremoto. da Finale Emilia c'è chi conferma i crolli?,no damage
Terremoto. San Felice Il Castello diverse Chiese crolli,damage
#stomale  Attimi di paura..pensavo fosse la metro..invece era il terremoto..#stomorta,no damage
Morta di sonno e di paura per il terremoto delle 4...,no damage
#terremoto crollata torre. Castello e chiese San felice e case,damage
#terremoto crollate case chiesa castello San felice finale  massa,damage
#terremoto crollate chiese e danni case e altro a San felice e Finale e Bassa,damage
Terremoto forte vicino BOLOGNA sentito!!! X ora non vedo danni intorno.,no damage
Dramma in #Sardegna morti e sfollati.convocato da #Letta consiglio Ministrisolidarietà dalla UE . #allertameteoSAR,damage
Ancora piccola scossa #terremoto #genova,no damage
@TheFolloWerTv a quanto pare no anche la pubblicità viene prima di 9 morti... #allertameteoSAR,damage
16 morti. Allucinante. Questo non è un #buongiorno per la #Sardegna #allertameteoSAR,damage
#allertameteoSAR RT @TgLa7: "Alluvione #Sardegna: s'aggrava bilancio numero morti sale a 18",damage
Altra scossa #terremoto più lieve però,no damage
Altra scossa piu lieve a Modena ora,no damage
Un'altra breve e leggera scossa qui Bolzano #terremoto,no damage
#terremoto più gente su twitter che in strada,not relevant
Ma solo io nn ho sentito il terremoto?,not relevant
Un'altra piccola scossa... #terremoto,no damage
in 3sul divano a vedere totò e peppino con camilla #terremoto #camotiamo,not relevant
spero pochi danni e nessun ferito #terremoto.,no damage
Un'altra scossona a #Bologna. #terremoto,no damage
Cercherò di riprendere sonno...#terremoto Comunque cazzo che paura,no damage
Ore 4:00 terremoto a padova.....mamma che botta!!!speriamo non ci siano danni!!!!!,no damage
Trema ancora??? #terremoto bologna,not relevant
#terremoto nel nord Italia....un morto!....dopo la #bomba di #brindisi anche questo...,damage
Assestamento#terremoto,not relevant
#terremoto Ferrara Modena Bologona.. Emilia state bene? Ci sono danni?,no damage
Altra scossa #terremoto,no damage
"@emanuelefiano: #terremoto in provincia di Ferrara 4 morti",damage
Ancora una scossa!!!!!!,no damage
terremoto.,no damage
e quando pensi che vuoi metterti a dormire...altra scossina #terremoto,not relevant
Terremoto è crollata là torre del cartello a Poggio,damage
Altra piccola scossa di #terremoto ora ora,no damage
Merda che terremoto !!!!!!,no damage
Altra scossa #terremoto ora #bologna,no damage
@Rainews24 c'é appena stata altra scossa forte,no damage
Buongiorno! Ho appena saputo del terremoto ci sono stati tanti danni?,no damage
Ancoraaaa??! #terremoto,no damage
#terremoto altra di assestamento forte a Bo,no damage
5 morti 1 disperso e più di 50 feriti. #terremoto #emilia,damage
un'altra scossa? #terremoto,not relevant
La prediccion del Mega Terremoto D: xD,not relevant
ecco una forte scossa di assestamento olè,no damage
9 morti e 10 dispersi. Questa volta Terra Mia ci hai chiesto tanto. Prego per la mia gente io lontanoal sicuro ma vicino #allertameteoSar,damage
ci mancava solo il terremoto  scossa 5.9 fortissima,no damage
altra scossa.......,no damage
Tresigallo trema terremoto 5.9 con epicentro a 36 km da bologna,no damage
Terremoto.,not relevant
#terremoto provincia di Bo scossa adesso 05:04 piccolo assestamento,no damage
#terremoto il gatto si è tranquillizzato riprendo il letto,no damage
altra scossa potente,no damage
#terremoto ma quando finisce? intervenga striscia la notizia,not relevant
#terremoto continuano le scosse socmel al lampadario,no damage
#sky sta dando adesso il servizio sul #terremoto .... Uhè Bongiorno anche a voi!,not relevant
scossa si assestamento a #genova #terremoto,no damage
#terremoto scosse di assestamento senza fine.,no damage
è passata quasi un'ora dalla forte scossa. sono appena appena più tranquilla. x.x,no damage
#Sardegna #allertameteoSAR una buona notizia nella tragedia. uno dei dispersi e' stato ritrovato vivo,damage
scossa di terremoto a bolzano ore 4e 04,no damage
terremoto leggero a bolzano ore 04.05.,no damage
#terremoto altro assestamento avvertito in maniera decisa,no damage
#terremoto svegliati da forte scossa a #vicenza ma nessun danno,no damage
#terremoto ore 5:06 nuova scossa ma più breve #vicenza,no damage
#terremoto ci siamo di nuovo a #Milano si balla ancora,no damage
oddio un terremoto con 5 morti?,damage
Altra scossa cazzo !!!!!,no damage
è crollato il campanile di tutti i paesi limitrofi compreso il mio #terremoto,damage
3 morti a causa del terremoto nel ferrarese.. Pare lavoratori in fabbrica,damage
#terremoto ....Niente danni..... ma che paura!!!!!,no damage
#terremoto ancora anche se molto più debole,no damage
Adesso non è che andiamo avanti a scosse una settimana vero? #terremoto,not relevant
la porta traballante è stata promossa a sismografo ufficiale! #terremoto,no damage
Sto piangendo D: c'è appena stata un'altra scossa,no damage
A distanza di un'ora un'altra scossa,no damage
Purtroppo la forza della natura non si puó contrastare #terremoto,not relevant
otro terremoto,no damage
Sentito anche a Firenze #terremoto,no damage
Ancora un'altra scossa si #terremoto a Milano...,no damage
Terremoto alle quattro di mattina 4 morti molti feriti edifici distrutti.,damage
Scossa di nuovo? #terremoto,no damage
Altra scossa.,no damage
#terremoto #mirandola tutti fuori di casa. Non sembrano esserci danni ma molta paura.,no damage
#terremoto altra scossa forte. Breve ma forte. #mirandola,no damage
Basta cinguettare tutti a letto su #terremoto,not relevant
#terremoto altra scossa d assestamento in Veneto vicenza,no damage
Spero stiano tutti bene e non sia successo nulla di grave ..#terremoto STATE CALMI,no damage
No vi prego. BASTA . #terremoto fermaticazzo !,no damage
A bologna il #terremoto è ricominciato...,no damage
avvertita altra scossa di #terremoto inferiore. Saranno di assestamento...,no damage
un altra piccola scossa...#terremoto,no damage
Ancora una scossa...,no damage
ALTRA SCOSSA!!,no damage
Le previsioni danno ancora disagi gravissimi. Forza amici isolani. Tenete duro. Un abbraccio forte per voi. #allertameteoSAR,no damage
#allertameteoSAR mi dispiace ma ora sarebbero 16 i morti,damage
#allertameteoSAR alle 9.00 secondo la #ProtezioneCivile 16 morti ancora molti dispersi strade interrotte paesi isolati...,damage
#ProtezionCivile Gabrielli 16 morti e 1 disperso #allertameteoSAR,damage
altra scossa terremoto 5.04 Brescia,no damage
seconda (o terza) scossa di terremoto a genova. h.5 circa,no damage
belin ma le previsioni del tempo avevano datto pioggia non terremoto,not relevant
#allertameteoSAR - Crolla ponte sulla Provinciale 46 Un agente perde la vita tre colleghi feriti http://t.co/J8wRDcsdFK (foto shock),damage
...E DURANTE LA SCOSSA DI TERREMOTOSTAVO TREMANDO... MA IN DISCO!,not relevant
alle 4 di mattino se sentito a Livorno il terremoto,no damage
#terremoto #Emilia una forte scossa ha distrutto molti edificicausando 4morti,damage
#terremoto Molta paura nel bresciano ma nessun ferito e nessun danno.,no damage
#terremoto avvertito distintamente anche a #brescia nessun danno a cose o persone.,no damage
#terremoto. Salgono a quattro le vittime nel ferrarese una cinquantina i feriti.,damage
di nuovo #terremoto forse assestamento,no damage
C'era più gente per strada adesso che alle 9 di sera surreale. #terremoto,no damage
altra scossa... #modena,no damage
cazzo mi ributto a letto e.... un'altra scossa!!!,not relevant
altra scossa meno forte della prima ma sentita distintamente #terremoto #treviso,no damage
Scossa #2 e il mio cane continua a dormire imperturbato,no damage
Il mio cuore non regge un'alta scossa. #terremoto,no damage
Terremoto: i morti sono saliti a tre,damage
Altra scossa di #Terremoto che palleeeeeeeeeee,no damage
MADO' UN ALTRO TERREMOTO ALTRI MORTI MINCHIA..,damage
ho capito che non si dorme #terremoto,no damage
visto che magari rischiamo di morire almeno ACCOPPIAMOCI TUTTI! #terremoto,not relevant
altra scossa,no damage
trovato morto l'uomo disperso a Bondeno #terremoto,damage
La nuova scossa non l'ho sentita!,not relevant
altra scossa a #Milano di #terremoto... ed io che pensavo di tornare a letto,no damage
Gallo e uccellini in concerto e io ho il mal di mare. Postumi da terremoto,not relevant
#terremoto.Altra scossa...mo me starei a rompe er..... :-/,no damage
A Botticino tutto ok per il momento. Nessun danno a lieviti o bottiglie. #terremoto,no damage
Comincio a pensare che il 3G porti sfiga.#Terremoto,not relevant
Una luna piena spero che indichi la fine del clima feroce che ci ha ferito #Sardegna #allertameteoSAR http://t.co/MNpb8O5kzC,no damage
...Ci Mancava Solo il Terremoto!!!,no damage
Ma ancora?e che palle #terremoto,no damage
Assestati sto ca..o @_Abira_ #terremoto,no damage
Menomale che gli uccelli cantano @_Abira_ #terremoto,not relevant
Disastro! 4 morti e 50 feriti!! #Terremoto,damage
Ci sono danni? #terremoto,no damage
Crollata completamente la Torre dell'Orologio a Finale Emilia. #terremoto,damage
Si è fatto giorno nel frattempo... #terremoto http://t.co/Z2Id9qf3,not relevant
Carlo Conti direbbe : scossa?!? va benee... #terremoto,not relevant
Ancora una scossa... Stanotte non si dorme... #terremoto,no damage
A #goro è crollato un pezzo di argine... #terremoto,damage
Crolli con persone coinvolte a #bondeno #terremoto,damage
Gravi danni a Finale Emilia. Il sindaco (a caldo): "abbiamo perso la città" #terremoto,damage
Purtroppo oltre ai 9 morti accertati aumenta a 10 il numero dei dispersi in #Sardegna. Rainews24 #allertameteoSAR,damage
Salgono a 12 le vittime del ciclone che ha devastato la #Sardegna ancora imprecisato il numero dei dispersi. #allertameteoSAR,damage
Solo mio moroso è in grado di addormentarsi due minuti dopo la scossa!!,not relevant
#terremoto altra forte scossa.,no damage
Ho parlato con i miei Silanus Aidomaggiore Ottana Sedilo nessun pericolo per le persone con Lanusei non riesco a parlare #allertameteoSAR,no damage
qualcuno sa dirmi se a castel san pietro terme ci siano danni?  #terremoto,no damage
Unaltra  scossa un po' più lieve,no damage
4 morti e in tv parlano delle sorti del pdl con cicchito e santanché.  #allertameteoSAR,damage
In Sardegna nessuno è preparato. La morte miete vittime in forma liquida. #tristezza #impotenza #allertameteoSAR,not relevant
I morti ora sono 16. Purtroppo destinati a salire. E non smette di piovere. #ForzaSardegna #allertameteoSAR,damage
Scosse anche a #Darfo (BS) #terremoto,no damage
#Terremoto Un'altra ora ora piuttosto fortina ma più breve.,no damage
Altra scossa,no damage
smetti di tremareeeeeee #terremoto,not relevant
ma che diavolo sta succedendo?? #terremoto,not relevant
cristoforo 50 tweet solo per sto cazzo di terremoto...,not relevant
#terremoto scossa di assestamento..uffa! Stanotte non si dorme!,not relevant
06:01 - TERREMOTO NEL FERRARESE: UN MORTO,damage
Altra scossa di #terremoto in questo momento... Meno forte delle precedenti,no damage
Riassunto #terremoto della notte http://t.co/fgoPWMHT,no damage
Altra scossa ..leggera,no damage
Scusate che e' successo? Terremoto dove? E ci sono morti? :(,no damage
Altra scossa di #terremoto piuttosto forte...,no damage
Oh state tutti bene? Aggiornateci! #terremoto,not relevant
Ommioddiooooo.... :( terremoto...nn finisce +!,not relevant
NO PORCA PUZZOLA UN'ALTRA SCOSSA STA VOLTA PER POCO NON PIANGO. MO' BASTA.,no damage
no le scosse d'assestamento no!!! #terremoto,not relevant
Altra scossa ora #terremoto a #Maranello,no damage
Oddio mi sveglio con un'altra notizia pessima una scossa di terremoto con 4 morti..,damage
terremoto di merda e adesso chi dorme più!!!!,no damage
Altra scossa!,no damage
_Ricordiamoci che le vittime del #terremoto sono anche e soprattutto morti sul lavoro.,damage
Ancora terremoto! Ritrema tutto! Scosse di assestamento,no damage
#terremoto rovigo nessun danno ma scossa forte.,no damage
6 morti e 50 feriti per il terremoto ...,damage
@rtl1025 altra scossa anche in provincia di Mantova.....,no damage
Aiuto un'altra scossa!!!!!!!,no damage
Non capisco se tremo io o il letto :-( #terremoto,no damage
Ancora... #terremoto modena,no damage
#terremoto #pesaro ai piani alti ha tremato davvero tanto,no damage
altra mini scossa di #terremoto. Ho capito che non dormirò.,no damage
Tanti danni....e si attende un'altra scossa?!?!#terremoto,damage
Non riesco piu a dormire. #terremoto,not relevant
Fuori casa e tanta paura!!! Il terremoto fa tanta paura,no damage
Altra scossa #terremoto!!! Breve. #saletto,no damage
#terremoto forte e chiaro (e lungo!) anche a #bologna ma nessun danno...giusto?,no damage
Ma c'è stata un'altra brevissima scossa poco fa #terremoto?,not relevant
#terremoto altra scossa anche a Trento ma più breve.,no damage
Dal 18 maggio è il quinto terremoto nella zona della Pianura Padana emiliana,no damage
ma epicentro #terremoto danni?,no damage
#terremoto ma che cazzo sta succedendo?,not relevant
#allertameteoSAR SARDEGNA STRAVOLTA DAL CICLONE. SEI VITTIME ANCORA PERSONE DISPERSE - FOTO http://t.co/96iO3hisVm,damage
#SARDEGNA IL CICLONE #CLEOPATRA DEVASTA L’ISOLA: 17 MORTI – FOTO/VIDEO  #allertameteoSAR #olbia http://t.co/qjPZlHqS8W,damage
TROVATO operaio disperso sotto il capannone Modena terremoto,damage
ANCORA TERREMOTO!,no damage
Ancora terremoto ora!,no damage
Ore 4:04 terremoto.... Ore 5:04 ancora altro terremoto.... Non e' divertente!,no damage
cazzo un'altra scossa.,no damage
Un altro scossone forte. Balla il letto di nuovo. Che notte. #Terremoto #vicenza,no damage
Sei morti. Sempre peggio  #allertameteoSAR http://t.co/bQFHC7SRWn via @lanuovasardegna,damage
seconda scossa avvertita a milano paura!,no damage
Si replica.. altra scossa! #terremoto,no damage
A Monza un'altra scossa sentita 2 minuti fa',no damage
Si parla del crollo di un capannone industriale. Un disperso? #terremoto,damage
++ SISMA EMILIA: ANCORA UNA FORTE SCOSSA ALTRI CROLLI ++,damage
Qua si muove ancora il lampadario #Ravenna da voi? Altra scossa?,no damage
SCOSSA DI ASSESTAMENTO! Oddio!,no damage
@styleslovesme amo cè il terremoto qui.,no damage
e daje: altra scossa a Milano. Più lieve.,no damage
...un'altra scossa in questo istante... Eccccheppppalle! Voglio dormireeeeee!!!,no damage
Ne ha appena fatta un altra! Mo' ha rotto il cazzo.. #terremoto,no damage
Altra scossa più debole ora....,no damage
Altra scossa. DIOCRISTO. #terremoto,no damage
VOGLIO DORMIRE! #terremoto,not relevant
@lauraeffe70 Sentito il #terremoto ?,no damage
#terremoto altra scossa.  Più lieve.,no damage
cazzo un altra scossa siamo tutti per strada si sono crepati i muri!,damage
di nuovo! Un altra scossa adesso! #terremoto,no damage
un'altraaaa scossa più piccola e chi dormeeeeee,no damage
#terremoto altra scossa ora,no damage
9morti e dispersi in #sardegna e alla tv pubblica parlano dei tornado in USA e di Renzi. Complimenti Italia dei pagliacci! #AllertameteoSAR,damage
Porca!! Ancora a milano #terremoto 5.04,no damage
#terremoto #Modena epicentro a san felice sul panaro (modena) 5.9 gradi ...,no damage
Altra scossa !! #terremoto #Modena crollo in diretta su sky !! BASTAAAAA,damage
è morta una signora di 103 anni a causa del terremoto.,damage
Anche il gatto ha paura e vuole mettersi sotto le coperte #terremoto,not relevant
Ancora #terremoto ore 5.03 #Padova,no damage
Cazzo pero' il tempismo del terremoto. Dio che paura.,no damage
un morto nel ferrarese. #terremoto,damage
continua il saccheggio del Nord ai danno del Sud:ora si prendono anche il #terremoto,not relevant
Alle 5.04 sentita un'altra scossa di #terremoto in #veneto,no damage
Ancora terremoto ora!!!!,no damage
5:04 un'altra scossa ora a #Milano,no damage
Boia che scossa #terremoto,no damage
Notizie #terremoto #nord in diretta su rainews. Altra scossa in questo istante,no damage
#terremoto altre scosse #Modena,no damage
Ho paura. Di nuovo. #terremoto,no damage
Per favore mi dite epicentro e potenza di quello delle 4 e qualcosa? #terremoto,no damage
O datemi un sito dove cercare aggiornato. #terremoto,not relevant
Facciamo che non mi agitate? #terremoto,not relevant
E se fossero solo i festeggiamenti di @RemainsofD? #terremoto,not relevant
Potreste essere più precisi quando dite: CONTINUANO LE SCOSSE? QUANDO? #terremoto,no damage
E sti cazzi !!! Altra scossa porca Troia ! Dormo vestito pronto alla fuga,no damage
basta con queste scossettine sono fastidiosissime! #terremoto #milano,no damage
#terremoto altra scossa anche a #Genova,no damage
ma...ANCORA?! #terremoto,not relevant
5.03 scossetta d'assestamento?! #terremoto,not relevant
#terremoto confermo lieve scossa di assestamento a Milano qualche minuto fa..,no damage
Stiamo tutti calmi: mica è ancora il 21 Dicembre! #Terremoto #Maya,not relevant
#terremoto altra scossa,no damage
#terremoto Venezia continua a tremare,no damage
#mantova #terremoto. Nuova scossa. Più leggera,no damage
La 131 é tutta percorribile la 129 é chiusa per smottamento la 127 é chiusa dal Km 10 al Km 35 per crollo ponte #allertameteoSAR,damage
La 125 resta chiusa nello specifico all'altezza di Posada località Orvili127 resta chiusa per crollo ponte al km 5 e 800 #allertameteoSAR,damage
La statale 389 è chiusa per un crollo all'altezza della galleria Correboi ed il traffico deviato sul tracciato della 389 #allertameteoSAR,damage
La 129 sempre chiusa nello specifico all'altezza di Manasuddas e Paludi per crollo ponti #allertameteoSAR,damage
“@insopportabile: Se siete sul luogo caricate l'app https://t.co/FO7fMDHp40  andate nelle case fotografate i danni. #allertameteoSAR”,no damage
SS125 – chiusa al traffico tra i km 267+400 e 270+300 a causa di danni al rilevato stradale in conseguenza dell’allagamento #allertameteoSAR,damage
SS129 – la statale è chiusa al traffico tra i km 24+950 e 25+150 per crollo del ponticello al km.25+050 e al km 38+250 #allertameteoSAR,damage
A Sassuolo nessun danno per il #terremoto,no damage
05.04 Trento ... nuova scossa ... dura tornare a dormire ... :-(,no damage
Altra scossa Milano,no damage
Altra scossa.. e chi dorme stanotte?  #terremoto,no damage
Cavolo altra scossa di #terremoto mi disp x i morti :(,damage
Accidenti che scossa purtroppo ci sono tre morti e danni.,damage
Sí scossa di assestamento,no damage
porca puttana che paura stanotte. E' crollata la libreria. #terremoto,damage
Ce n'è stata un'altra!!!!!!! #terremoto,no damage
A #Carpi solo calcinacci e qualche crepa. Meno male ! #terremoto,damage
5 morti e crolli nei paesi #bologna #terremoto,damage
niente danni a Bologna 3 morti nel ferrarese #terremoto,damage
#terremoto mamma che altra botta!!!,no damage
Il terremoto é durato 4 ore... FOLLOW ME!!! VILLA BONIN Vicenza Italia,no damage
che cazzo ancora scossa ? #terremoto,no damage
Ok siamo a 3 scosse di terremoto e ne ho avuto abbastanza...,no damage
Prima scossa forte: 04.04Seconda scossa forte: 5.04Ma è temporizzato? #terremoto,no damage
quelle giornate che ti danno la scossa ...,not relevant
Sentire un'altra scossa finché' si ascolta RAI NEWS... Il massimo... Ma che cavolo!,no damage
Ragazzi tutto ok??? Qualche ferito?? #terremoto,no damage
Finalmente anche io ho sentito il terremoto!Speriamo che non abbia fatto danni peró..,no damage
Ecco capito che stanotte non si dorme... #terremoto,no damage
Finito? No xche' #terremoto hai rotto er cazzo!,not relevant
Terza scossa di #terremoto che si sente a Venezia. Ci sono stati altri danni?,no damage
#terremoto altra scossa! Sentita zona Budrio (bo),no damage
#terremoto si hanno notizie da Poggio renatico? Ci sono feriti?,no damage
Altra scossa #terremoto,no damage
porca puttana ancora #terremoto,no damage
Un'altra scossa.. Arzignano Veneto,no damage
Minkia la scossa? Figa la scossa? Cazzo la scossa? Orco Dighel,not relevant
Ancora una scossa! Cazzo bastaaaaa,no damage
Notizie dalle zone vicine all'epicentro? #terremoto,not relevant
Ci mancava solo il terremoto...  #terremoto  #Cesena,no damage
#terremotopadova altra scossa forte...mi Sa Che ci trasferiamo in macchina...,no damage
Altra scossa proprio ora!,no damage
#terremoto in provincia di Ferrara 4 morti,damage
Si sa qualcosa di danno o altro? #Terremoto,no damage
Aiuto il terremoto!!!,no damage
#terremoto  altra scossetta ??,no damage
#terremoto  dopo quella delle 5 ok adesso non dormo piú...,no damage
Tra l'altro stavo dormendo benissimo! Speriamo non abbia fatto danni #terremoto,no damage
Beh c'è da dire che il primo test terremoto della casa nuova è andato bene.,no damage
Altra scossa!!!,no damage
#terremoto terza scossa ora a Milano.,no damage
Il terremoto! Ma non ne forte...,no damage
ancora #terremoto a #bologna si muove tutto..,no damage
E basta! Mi stavo riaddormentando! #terremoto,no damage
#Terremoto in Emilia danni principali nelle provincie di Modena e Ferrara.,damage
#Terremoto  Gabrielli: «Al momento non ci sono dispersi».,no damage
#Terremoto  RISCHIO CROLLO TORRE S.FELICE,no damage
#Terremoto  CROLLA TORRE FINALE VIGILE DEL FUOCO E' GRAVE.,damage
#Terremoto  Sale a 7 il numero dei morti del sisma in Emilia.,damage
sveglio dalle 4.00 per il terremoto!!!!! Qualcuno l'ha sentito,no damage
#Sardegna #allertameteoSAR : 13 morti e centinaia di sfollati è un disastro.,damage
ALLUVIONE in #SARDEGNA: ieri sono morti anche migliaia di animali!  #allertameteoSAR http://t.co/DB7QUgMaOA,damage
++Alluvione in #Sardegna 18 morti ed oltre 2.700 sfollati++ #allertameteoSAR #Olbia,damage
Un altra scossa. Mi stavo riaddormentando,no damage
non parlano dei 6 morti in sardegna e del maltempo che sta distruggendo tuttoma parlano della nazionale . #allertameteoSAR,damage
Un'altra scossa D:,no damage
@RedRonnieRoxy 18 maggio? E lo scopro solo ora #terremoto,not relevant
Ancora #terremoto a Milano,no damage
E' un'ora che balliamo con il terremoto,no damage
#Terremoto in Emilia.Sei le vittime accertate cinquanta i feriti.,damage
Simona Uccheddu ATTENZIONE è APPENA CROLLATO IL PONTE DI TERRALBA HANNO AVVISATO DAL COMUNE DI NON SPOSTARSI VERSO IL PAESE #allertameteoSar,damage
CHIUNQUE AVESSE ATTREZZATURE INFORMATICHE CHE SONO STATE DANNEGGIATE.GRATUITAMENTE PER TUTTI. per info: 0789.23786 #allertameteoSar,no damage
OMG ma è stato pure forteee !! #terremoto ci sono dei morti e tanti feriti :/,damage
ecco un'altra scossa #terremotobo,no damage
#terremoto... Morta una donna di 37 nelle parti di Bologna colta da un malore,damage
#terremoto #reggioemilia assestamento fortino e lunghino... Non si dorme più?,no damage
Si si dai ancora! #Terremoto,no damage
9 morti e 5 dispersi. Una tragedia immensa sta flagellando la Sardegna. :( che tristezza dannata Cleopatra! #allertameteoSAR,damage
Stavolta son stato a letto! Sono un duro! #terremoto,not relevant
Mia moglie non riesce più a dormire... ma non per il #terremoto... Tweet!,not relevant
Altra scossa di assestamento a Milano,no damage
Diverse scosse di terremoto in prov di ferrara..,no damage
Altra scossa #terremoto sentita a #Codigoro lieve ma si sente.,no damage
Svegliato dal terremoto a Milano! Ma li mortacccccc!!,no damage
altra scossa lunga 20secondi fa. ballato ancora.ore 5,no damage
Alla prossima scossa esco di casa. #terremoto,no damage
#terremoto nuova scossa "che sensazione strana"..... Milano,not relevant
Un'altra scossa.,no damage
Ancora trema...e il lampadario che balla! #terremoto,no damage
Terremoto molto forte a milano. No danni ma casa oscillata con rumore di vetri,no damage
cuore d'Italia stanotte è in #Sardegna che vive ore drammatiche con mortiferiti  paesi devastati del fango e dell'acqua.#allertameteoSAR,damage
oltre la #Sardegna #allertameteoSAR anche in #Puglia a #Gallipoli. Feriti e allagamenti. La natura sa essere vendicativa....,damage
Altra scossa. #terremoto #padova,no damage
5.9 epicentro Modena #terremoto #Verona appena fatto piccolo assestamento?,no damage
Ma perché tutti sti morti sotto il terremoto e sempre di notte. Ma perché? ....,damage
Mi dispiace tantissimo per i 4 morti durante il #terremoto :(,damage
Altra scossa di terremoto!!!,no damage
Ma a Roma si é sentito il terremoto? :o ho paura per mio fratello... D:,not relevant
altra scossa a bologna,no damage
Altra scossa.. #terremoto,no damage
Merda un altra scossa ora. Si assesta o annuncia?,no damage
Un'altra scossa... Vi teniamo aggiornati.,no damage
5:04 another quake un'altra scossa (inevitabile assestamento ?) #padova #terremoto,no damage
Assestati sto cazzo. #terremoto #vogliodormire,no damage
7 Morti a Ferrarauno a Bologna. #terremoto :'( Oddio no..,damage
Altra scossa forte Mantova #terremoto,no damage
si iniziano a contare i danni #allertameteoSAR: potrebbero arrivare a 200 milioni di euro le risorse per la ricostruzione @Corriereit,damage
Altra scossa..:-!,no damage
#terremoto ancora. Piccola ma c'è a #Ferrara,no damage
@SkyTg24 scrive "crolli in fabbriche nel ferrarese" #terremoto,damage
#terremoto il disperso di #Bondeno è stato trovato. Morto. 2 feriti a #santagostino,damage
che riposino in pace tutti i morti del terremoto.,damage
Ho sentito del terremoto.... Ci sono stati danni??,no damage
scossettina num 2 .. non si dorme uff #terremoto salò,no damage
#terremoto il timore è che potrebbero esserci tanti danni ai monumenti di Ferrara,no damage
I Maya si son sbagliati giusto di qualche mese. #terremoto,no damage
#un'altra scossa !!! Caz...,no damage
Il #sonno non arriva più.  Aggiorniamoci sui danni del #terremoto..,no damage
Terremoto bologna danni?,no damage
Ancora???? #terremoto,no damage
Sveglia dalle 4.00 del mattino. Non riesco a dormire per colpa del terremoto.,no damage
Ok #terremoto ti ho sentito. Ora piantala però che c'è gente che vuole dormire...,no damage
ancora un altra scossa di #terremoto a Verona,no damage
Ancora #terremoto ma + debole,no damage
@Bluette_Smurfs MAGGY COME STAI? HAI SENTITO IL TERREMOTO?????,not relevant
#Terremoto : ho appena letto. Quant'orrore quanta morte in questi giorni!,damage
Porca puttana almeno 4 morti e decine di feriti. #terremoto,damage
Scossa di #terremoto lieve a #bergamo,no damage
un'altra scossa ... ondulatoria breve (spero) ore 5.03 #Genova,no damage
ma da quelle parti (epicentro) come stanno persone e cose? #terremoto,not relevant
n altra scossa.. #panico,no damage
#ULTIME #NEWS SALGONO A #18MORTI E PARECCHI DISPERSI #SARDEGNA #ALLUVIONE #ALLERTAMETEOSAR . @Pinucciotwit @ritadallachiesa @EnricoLetta .,damage
ultimo #bollettino salgono a 18 i Morti #sardegna #alluvione !! #olbia #allertameteoSAR #TGR3,damage
#OLBIA 18 #VITTIME DI CUI 4 #BAMBINI #SARDEGNA !! #allertameteoSAR PARECCHI I DISPERSI @EnricoLetta,damage
#ALLERTAMETEOSAR #Sardegna ULTIMO #BOLLETTINO PER IL MOMENTO  18 morti  2.700 senza casa @EnricoLetta #OLBIA,damage
#AllertameteoSAR #SARDEGNA proseguono le ricerche per un disperso tra Bitti e Onanì  #forzasardegna @ugocappellacci http://t.co/rFBaFfuj4o,no damage
il mio caro collega #sardo @fabriziosmztvf #sommozzatori #allertameteoSAR oggi durante le ricerche di un  disperso http://t.co/mh9VXDfbLa,damage
#AllertameteoSAR Mi hanno appena riferito che si sono smarriti parecchi #animalidomestici #OLBIA #cani e #gatti dateli ai #volontari #RT,damage
