Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550606084

2019-02-19T19:54:46.199786: step 1, loss 10.4362, accuracy 0.125, precision [0.0, 1.0, 0.0, 0.1111111111111111, nan, 0.0, nan, 0.0, nan], recall [nan, 0.25, nan, 0.3333333333333333, 0.0, nan, 0.0, 0.0, 0.0]
2019-02-19T19:55:46.104109: step 355, loss 1.96948, accuracy 0.375, precision [0.5, 0.4, 0.0, 1.0, 0.5, 0.0, nan, 0.0, nan], recall [1.0, 1.0, 0.0, 0.2, 0.5, nan, nan, nan, nan]
2019-02-19T19:55:46.256997: step 356, loss 1.75097, accuracy 0.5, precision [nan, nan, 0.0, 0.6, 0.75, 0.0, 0.0, 0.5, nan], recall [0.0, 0.0, nan, 0.5, 0.5, nan, nan, 1.0, nan]
2019-02-19T19:55:46.409233: step 357, loss 1.94058, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.6, 0.5, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.5, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:55:46.561603: step 358, loss 1.9352, accuracy 0.25, precision [nan, 0.0, 0.25, 0.2857142857142857, 0.5, 0.0, nan, nan, 0.0], recall [0.0, 0.0, 0.5, 0.5, 0.14285714285714285, nan, nan, nan, nan]
2019-02-19T19:55:46.714703: step 359, loss 2.00102, accuracy 0.3125, precision [nan, 0.5714285714285714, 0.0, 0.5, 0.0, 0.0, 0.0, nan, nan], recall [nan, 1.0, 0.0, 0.1111111111111111, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:55:46.866969: step 360, loss 1.92057, accuracy 0.3125, precision [0.0, 1.0, nan, 0.25, 0.5, 0.0, 0.0, 0.0, nan], recall [nan, 0.4, nan, 0.5, 0.25, nan, nan, 0.0, nan]
2019-02-19T19:55:47.015696: step 361, loss 1.50276, accuracy 0.5, precision [nan, 0.6666666666666666, 0.5, 0.5, 0.5, nan, nan, 0.0, nan], recall [nan, 0.6666666666666666, 0.5, 0.42857142857142855, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:55:47.165871: step 362, loss 2.15838, accuracy 0.1875, precision [0.0, 1.0, 0.0, nan, 0.0, 0.0, 0.0, 0.3333333333333333, nan], recall [nan, 0.5, 0.0, 0.0, 0.0, nan, nan, 0.5, nan]
2019-02-19T19:55:47.311539: step 363, loss 2.03213, accuracy 0.1875, precision [0.0, nan, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, nan, nan], recall [nan, 0.0, 0.0, 0.14285714285714285, 0.2857142857142857, nan, nan, nan, nan]
2019-02-19T19:55:47.459949: step 364, loss 2.08068, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.3333333333333333, nan, 0.0, nan, nan], recall [nan, 0.0, nan, 0.125, 0.16666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:55:47.608388: step 365, loss 1.99647, accuracy 0.1875, precision [0.0, 0.5, 0.0, 0.3333333333333333, 0.5, 0.0, 0.0, 0.0, nan], recall [nan, 1.0, nan, 0.16666666666666666, 0.125, nan, nan, 0.0, nan]
2019-02-19T19:55:47.754812: step 366, loss 1.95062, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.0, nan, 0.42857142857142855, 0.0, nan, 0.0, nan], recall [0.0, 0.25, nan, 0.0, 0.75, nan, nan, 0.0, nan]
2019-02-19T19:55:47.905199: step 367, loss 1.73087, accuracy 0.1875, precision [nan, 0.6666666666666666, 0.0, 0.25, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.5, nan, 0.14285714285714285, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:48.058345: step 368, loss 1.76195, accuracy 0.4375, precision [nan, 0.6666666666666666, 0.0, 0.4, 1.0, 0.0, nan, nan, nan], recall [0.0, 0.6666666666666666, nan, 0.5, 0.375, nan, nan, nan, nan]
2019-02-19T19:55:48.210606: step 369, loss 1.88134, accuracy 0.3125, precision [1.0, 0.0, 1.0, 0.3333333333333333, 0.5, 0.0, nan, 0.0, nan], recall [0.3333333333333333, nan, 0.25, 0.5, 0.2, nan, nan, nan, nan]
2019-02-19T19:55:48.362555: step 370, loss 1.78415, accuracy 0.5, precision [nan, 0.3333333333333333, 0.0, 0.625, 0.6666666666666666, 0.0, nan, nan, nan], recall [0.0, 1.0, 0.0, 0.7142857142857143, 0.6666666666666666, 0.0, nan, 0.0, nan]
2019-02-19T19:55:48.515993: step 371, loss 1.65425, accuracy 0.3125, precision [0.0, 0.6666666666666666, 0.0, 0.2, 0.5, nan, nan, nan, 0.0], recall [0.0, 0.4, 0.0, 0.25, 0.4, nan, nan, nan, nan]
2019-02-19T19:55:48.663800: step 372, loss 1.7673, accuracy 0.3125, precision [0.0, nan, 0.0, 0.5, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 1.0, 0.2, nan, nan, 0.0, nan]
2019-02-19T19:55:48.813247: step 373, loss 1.8337, accuracy 0.25, precision [0.0, 0.0, 0.5, 0.375, nan, nan, nan, 0.0, nan], recall [nan, 0.0, 0.5, 0.375, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:48.966154: step 374, loss 1.67168, accuracy 0.4375, precision [nan, 0.5, 0.0, 1.0, 0.0, nan, nan, 0.0, nan], recall [nan, 0.5, 0.0, 0.6, nan, nan, 0.0, nan, nan]
2019-02-19T19:55:49.114371: step 375, loss 1.64241, accuracy 0.4375, precision [0.5, 0.0, 0.0, 0.8571428571428571, 0.0, nan, nan, 0.0, nan], recall [0.3333333333333333, 0.0, 0.0, 0.6, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:49.262368: step 376, loss 2.25176, accuracy 0.25, precision [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], recall [nan, nan, nan, 0.2857142857142857, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:49.417305: step 377, loss 1.8994, accuracy 0.3125, precision [0.0, 0.6666666666666666, 0.0, 0.16666666666666666, 1.0, 0.0, nan, nan, 0.0], recall [0.0, 0.4, 0.0, 0.14285714285714285, 1.0, nan, nan, nan, nan]
2019-02-19T19:55:49.571320: step 378, loss 1.76406, accuracy 0.375, precision [0.0, 0.8, nan, 0.5, 0.0, nan, nan, nan, 0.0], recall [0.0, 0.5714285714285714, nan, 0.2857142857142857, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:49.720438: step 379, loss 2.13416, accuracy 0.125, precision [nan, 0.0, 0.0, 0.4, 0.0, 0.0, nan, 0.0, nan], recall [0.0, nan, 0.0, 0.16666666666666666, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:49.873739: step 380, loss 2.04384, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.6666666666666666, 1.0, 0.0, 0.0, 0.5, nan], recall [nan, 0.0, nan, 0.3333333333333333, 1.0, nan, nan, 0.5, nan]
2019-02-19T19:55:50.024181: step 381, loss 1.98324, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.8, 0.25, 0.0, nan, 0.0, nan], recall [nan, 0.0, nan, 0.3333333333333333, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:55:50.181238: step 382, loss 1.91018, accuracy 0.3125, precision [0.0, 0.0, 0.0, 1.0, 0.25, 0.0, 0.0, 0.0, nan], recall [nan, nan, nan, 0.26666666666666666, 1.0, nan, nan, nan, nan]
2019-02-19T19:55:50.330199: step 383, loss 2.1494, accuracy 0.25, precision [0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, nan], recall [nan, nan, 0.0, 0.2727272727272727, 0.25, nan, nan, nan, nan]
2019-02-19T19:55:50.483694: step 384, loss 1.95241, accuracy 0.3125, precision [nan, 0.0, nan, 1.0, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.35714285714285715, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:50.633978: step 385, loss 1.88472, accuracy 0.5, precision [0.0, 1.0, nan, 0.8571428571428571, nan, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.6666666666666666, nan, 0.6, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:50.782047: step 386, loss 1.76723, accuracy 0.375, precision [0.0, nan, 0.0, 0.7142857142857143, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [nan, 0.0, nan, 0.45454545454545453, 0.25, nan, nan, nan, nan]
2019-02-19T19:55:50.932031: step 387, loss 1.64913, accuracy 0.5625, precision [1.0, 0.5, 0.0, 0.8571428571428571, 0.0, nan, 0.0, 0.0, nan], recall [1.0, 1.0, nan, 0.5, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:51.079746: step 388, loss 2.01814, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [nan, 0.0, nan, 0.15384615384615385, 0.5, nan, nan, nan, nan]
2019-02-19T19:55:51.233421: step 389, loss 1.78595, accuracy 0.25, precision [0.0, 0.0, nan, 0.8, nan, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.4444444444444444, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:51.390702: step 390, loss 1.5099, accuracy 0.4375, precision [nan, 0.6666666666666666, 0.0, 1.0, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 1.0, nan, 0.38461538461538464, nan, nan, nan, nan, nan]
2019-02-19T19:55:51.539265: step 391, loss 1.82974, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.8333333333333334, 0.0, nan, 0.0, nan, nan], recall [nan, nan, nan, 0.35714285714285715, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:55:51.683734: step 392, loss 2.17103, accuracy 0.3125, precision [0.0, nan, 0.3333333333333333, 0.8, 0.0, 0.0, 0.0, nan, 0.0], recall [nan, nan, 1.0, 0.36363636363636365, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:55:51.834145: step 393, loss 1.92479, accuracy 0.3125, precision [0.0, 0.0, nan, 0.8333333333333334, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, nan, 0.45454545454545453, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:51.984879: step 394, loss 2.17893, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.1, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:52.136017: step 395, loss 1.88251, accuracy 0.1875, precision [0.0, 0.5, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0, 0.0], recall [0.0, 0.2, nan, 0.2, nan, nan, nan, nan, nan]
2019-02-19T19:55:52.288077: step 396, loss 1.63285, accuracy 0.5, precision [nan, 0.5, nan, 0.8571428571428571, 0.0, nan, nan, 0.0, 0.0], recall [nan, 0.4, nan, 0.6, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:52.437734: step 397, loss 1.92171, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.8333333333333334, 0.0, nan, nan, 0.0, nan], recall [0.0, nan, nan, 0.4166666666666667, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:55:52.588109: step 398, loss 2.03495, accuracy 0.25, precision [0.0, 1.0, 0.0, 0.6, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.16666666666666666, nan, 0.3333333333333333, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:52.737969: step 399, loss 1.77146, accuracy 0.3125, precision [0.0, 1.0, 0.0, 0.75, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 1.0, nan, 0.3, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:55:52.887354: step 400, loss 1.7739, accuracy 0.375, precision [0.0, 0.8, 0.0, 0.4, nan, nan, nan, 0.0, 0.0], recall [nan, 0.4, nan, 0.4, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:53.045206: step 401, loss 1.77401, accuracy 0.5, precision [0.5, 0.6666666666666666, 0.0, 1.0, 0.0, nan, 0.0, 0.5, 0.0], recall [1.0, 0.4, nan, 0.4444444444444444, nan, nan, nan, 1.0, nan]
2019-02-19T19:55:53.195058: step 402, loss 1.96767, accuracy 0.4375, precision [0.0, 0.5, nan, 0.8333333333333334, 0.0, 0.0, nan, 1.0, nan], recall [nan, 0.25, nan, 0.5, nan, nan, nan, 0.5, nan]
2019-02-19T19:55:53.347681: step 403, loss 1.94626, accuracy 0.3125, precision [0.0, 1.0, 0.0, 0.6666666666666666, nan, 0.0, 0.0, nan, nan], recall [0.0, 0.2, nan, 0.4444444444444444, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:53.498454: step 404, loss 2.02692, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.8, 0.0, 0.0, nan, 1.0, nan], recall [0.0, 0.0, nan, 0.4, nan, nan, nan, 1.0, nan]
2019-02-19T19:55:53.652115: step 405, loss 1.73008, accuracy 0.375, precision [0.5, 0.6666666666666666, 0.0, 0.75, 0.0, nan, 0.0, 0.0, nan], recall [1.0, 0.4, nan, 0.3333333333333333, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:53.804536: step 406, loss 1.79848, accuracy 0.5, precision [0.0, 0.5, 0.0, 0.875, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.25, nan, 0.7, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:53.953552: step 407, loss 1.65267, accuracy 0.4375, precision [nan, 0.25, nan, 0.6666666666666666, 0.0, nan, nan, nan, 0.0], recall [nan, 0.2, nan, 0.6666666666666666, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:55:54.103328: step 408, loss 1.55016, accuracy 0.625, precision [0.0, 0.0, 0.0, 1.0, nan, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.7692307692307693, nan, nan, nan, nan, nan]
2019-02-19T19:55:54.250438: step 409, loss 1.87549, accuracy 0.125, precision [nan, 0.0, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.14285714285714285, nan, nan, nan, nan, nan]
2019-02-19T19:55:54.397201: step 410, loss 1.90135, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.8, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.5, nan, 0.3076923076923077, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:54.547936: step 411, loss 2.13669, accuracy 0.375, precision [0.0, 0.0, nan, 0.8571428571428571, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.0, nan, 0.5, nan, nan, nan, nan, nan]
2019-02-19T19:55:54.701636: step 412, loss 2.02095, accuracy 0.25, precision [0.0, 0.5, 0.0, 1.0, 0.0, nan, nan, 0.0, 0.0], recall [0.0, 0.5, nan, 0.18181818181818182, nan, nan, nan, nan, nan]
2019-02-19T19:55:54.855583: step 413, loss 2.14636, accuracy 0.25, precision [0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], recall [nan, 0.3333333333333333, nan, 0.23076923076923078, nan, nan, nan, nan, nan]
2019-02-19T19:55:55.009861: step 414, loss 2.45609, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.3076923076923077, nan, nan, nan, nan, nan]
2019-02-19T19:55:55.159500: step 415, loss 2.28883, accuracy 0.25, precision [0.0, 0.5, nan, 1.0, 0.0, nan, 0.0, 0.0, 0.0], recall [nan, 1.0, nan, 0.21428571428571427, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:55.313469: step 416, loss 2.01006, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.8, 0.0, 0.0, nan, nan, 0.0], recall [nan, 0.0, nan, 0.3333333333333333, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:55.465917: step 417, loss 2.44166, accuracy 0.1875, precision [0.3333333333333333, nan, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], recall [1.0, 0.0, 0.0, 0.15384615384615385, nan, nan, nan, nan, nan]
2019-02-19T19:55:55.619375: step 418, loss 2.15864, accuracy 0.25, precision [0.6666666666666666, 0.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0, nan], recall [0.5, nan, nan, 0.16666666666666666, nan, nan, nan, nan, nan]
2019-02-19T19:55:55.773459: step 419, loss 1.66408, accuracy 0.4375, precision [0.0, 0.0, nan, 1.0, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.4666666666666667, nan, nan, nan, nan, nan]
2019-02-19T19:55:55.925956: step 420, loss 1.97859, accuracy 0.4375, precision [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0, 0.0], recall [nan, 0.0, nan, 0.5833333333333334, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:56.073990: step 421, loss 2.05915, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.4166666666666667, 0.5, nan, nan, nan, nan]
2019-02-19T19:55:56.228872: step 422, loss 1.75779, accuracy 0.5, precision [0.0, 0.0, nan, 0.8571428571428571, 0.25, nan, 0.0, 0.5, nan], recall [0.0, 0.0, nan, 0.5454545454545454, 0.5, nan, nan, 1.0, nan]
2019-02-19T19:55:56.386267: step 423, loss 1.90859, accuracy 0.375, precision [0.0, 0.0, nan, 1.0, 0.0, nan, 0.0, 0.0, nan], recall [0.0, nan, 0.0, 0.6, nan, nan, nan, nan, nan]
2019-02-19T19:55:56.537753: step 424, loss 2.31737, accuracy 0.25, precision [0.0, 0.5, 0.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], recall [0.0, 1.0, nan, 0.18181818181818182, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:55:56.683896: step 425, loss 1.69439, accuracy 0.375, precision [1.0, 0.5, 0.0, 0.6, 0.0, nan, nan, 0.0, nan], recall [0.2, 1.0, nan, 0.375, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:56.830436: step 426, loss 1.88462, accuracy 0.5, precision [0.3333333333333333, 0.0, 0.0, 0.875, 0.0, nan, 0.0, nan, 0.0], recall [0.3333333333333333, 0.0, nan, 0.7777777777777778, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:55:56.984310: step 427, loss 2.02083, accuracy 0.375, precision [0.0, 0.4, 0.0, 0.75, 0.5, 0.0, nan, nan, 0.0], recall [0.0, 1.0, nan, 0.375, 0.25, nan, nan, 0.0, nan]
2019-02-19T19:55:57.130732: step 428, loss 2.0605, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.6, 0.0, nan, nan, 0.0, nan], recall [0.0, nan, nan, 0.23076923076923078, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:57.281276: step 429, loss 1.90385, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, nan, 0.0, 0.0, 0.0, nan], recall [0.0, nan, nan, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:55:57.432471: step 430, loss 1.95048, accuracy 0.3125, precision [0.0, 0.0, nan, 0.6, 0.6666666666666666, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.42857142857142855, 0.4, nan, nan, nan, nan]
2019-02-19T19:55:57.579917: step 431, loss 2.13901, accuracy 0.25, precision [0.5, 0.0, nan, 0.6666666666666666, 0.0, nan, nan, 0.0, 0.0], recall [1.0, nan, nan, 0.15384615384615385, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:57.729668: step 432, loss 1.76155, accuracy 0.1875, precision [0.0, 0.0, nan, 0.75, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.23076923076923078, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:57.877882: step 433, loss 1.99743, accuracy 0.3125, precision [nan, 0.3333333333333333, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.5, nan, 0.3333333333333333, nan, nan, nan, 0.0, nan]
2019-02-19T19:55:58.028915: step 434, loss 1.58819, accuracy 0.4375, precision [0.6, nan, 0.0, 1.0, 0.0, nan, nan, 0.0, nan], recall [1.0, 0.0, nan, 0.4, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:58.176513: step 435, loss 1.87011, accuracy 0.375, precision [1.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, nan], recall [0.6666666666666666, 0.0, nan, 0.375, 0.3333333333333333, nan, nan, 0.0, nan]
2019-02-19T19:55:58.322720: step 436, loss 1.7002, accuracy 0.375, precision [1.0, 0.0, 0.0, 0.8, 0.3333333333333333, nan, nan, nan, nan], recall [1.0, nan, nan, 0.36363636363636365, 0.25, nan, nan, nan, nan]
2019-02-19T19:55:58.472803: step 437, loss 1.84034, accuracy 0.25, precision [nan, 0.25, 0.0, 1.0, 0.0, nan, nan, 0.0, nan], recall [0.0, 1.0, nan, 0.21428571428571427, nan, nan, nan, nan, nan]
2019-02-19T19:55:58.621456: step 438, loss 2.12545, accuracy 0.25, precision [1.0, 0.3333333333333333, nan, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan], recall [1.0, 0.5, nan, 0.2, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:58.767376: step 439, loss 1.75483, accuracy 0.4375, precision [nan, 0.3333333333333333, 0.0, 0.8333333333333334, 0.5, nan, nan, nan, 0.0], recall [0.0, 1.0, nan, 0.5555555555555556, 0.25, nan, nan, nan, nan]
2019-02-19T19:55:58.922091: step 440, loss 2.47826, accuracy 0.125, precision [0.2, 0.0, 0.0, 0.5, nan, nan, 0.0, 0.0, 0.0], recall [0.5, 0.0, nan, 0.08333333333333333, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:59.072746: step 441, loss 1.66959, accuracy 0.5, precision [1.0, 0.0, 0.0, 0.8571428571428571, 0.5, nan, nan, 0.0, nan], recall [0.5, nan, nan, 0.5454545454545454, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:55:59.222676: step 442, loss 1.85911, accuracy 0.375, precision [nan, 0.25, 0.0, 0.5714285714285714, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.5, nan, 0.5, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:55:59.375106: step 443, loss 1.87183, accuracy 0.3125, precision [0.25, 0.0, 0.0, 1.0, 0.0, nan, nan, 0.0, nan], recall [0.25, 0.0, nan, 0.4, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:59.525041: step 444, loss 1.89622, accuracy 0.25, precision [0.0, 0.0, 0.0, 1.0, 0.25, nan, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.23076923076923078, 1.0, nan, nan, nan, nan]
2019-02-19T19:55:59.673622: step 445, loss 1.78609, accuracy 0.3125, precision [0.0, 0.0, 0.0, 1.0, 0.0, nan, nan, 0.0, 0.0], recall [0.0, nan, nan, 0.35714285714285715, 0.0, nan, nan, nan, nan]
2019-02-19T19:55:59.830457: step 446, loss 2.22837, accuracy 0.1875, precision [0.0, 0.25, 0.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], recall [nan, 0.5, nan, 0.07692307692307693, 1.0, nan, nan, nan, nan]
2019-02-19T19:55:59.981679: step 447, loss 1.76008, accuracy 0.375, precision [nan, 0.0, 0.0, 0.8571428571428571, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, nan, nan, 0.5454545454545454, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:00.132671: step 448, loss 1.91399, accuracy 0.375, precision [0.5, 0.0, 0.0, 1.0, 0.0, nan, nan, 0.0, 0.0], recall [0.5, 0.0, nan, 0.5, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:00.285025: step 449, loss 1.79154, accuracy 0.3125, precision [1.0, 0.0, 0.0, 0.75, 0.0, nan, nan, 0.0, nan], recall [1.0, 0.0, nan, 0.2727272727272727, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:00.436346: step 450, loss 1.54185, accuracy 0.4375, precision [1.0, 0.0, 0.0, 0.75, 0.0, 0.0, nan, 0.0, nan], recall [0.3333333333333333, nan, nan, 0.6, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:00.587889: step 451, loss 2.07932, accuracy 0.25, precision [0.3333333333333333, 0.0, 0.0, 0.6, nan, nan, 0.0, nan, 0.0], recall [0.5, nan, 0.0, 0.3333333333333333, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:56:00.735747: step 452, loss 2.09031, accuracy 0.3125, precision [0.0, 0.0, nan, 1.0, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.35714285714285715, nan, nan, nan, nan, nan]
2019-02-19T19:56:00.883313: step 453, loss 1.86004, accuracy 0.4375, precision [0.0, nan, nan, 1.0, 0.2, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, nan, 0.46153846153846156, 0.5, nan, nan, nan, nan]
2019-02-19T19:56:01.038121: step 454, loss 1.72851, accuracy 0.375, precision [0.0, 0.0, 0.0, 1.0, 0.4, nan, nan, nan, nan], recall [nan, 0.0, nan, 0.36363636363636365, 1.0, nan, nan, nan, nan]
2019-02-19T19:56:01.186447: step 455, loss 1.78199, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.75, 0.25, nan, 0.0, 0.5, nan], recall [0.0, 0.0, nan, 0.3, 0.5, nan, nan, 1.0, nan]
2019-02-19T19:56:01.333274: step 456, loss 2.03951, accuracy 0.3125, precision [0.0, 1.0, 0.0, 0.6666666666666666, 0.0, nan, 0.0, 0.0, nan], recall [nan, 1.0, nan, 0.3333333333333333, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:01.484306: step 457, loss 1.76686, accuracy 0.375, precision [0.0, 0.5, 0.0, 0.8333333333333334, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.5, 0.0, 0.45454545454545453, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:01.641449: step 458, loss 2.16305, accuracy 0.1875, precision [1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, nan], recall [0.5, nan, nan, 0.18181818181818182, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:56:01.792485: step 459, loss 2.41943, accuracy 0.25, precision [nan, 0.0, 0.0, 1.0, nan, 0.0, 0.0, nan, 0.0], recall [nan, nan, nan, 0.26666666666666666, 0.0, nan, nan, nan, nan]
2019-02-19T19:56:01.945302: step 460, loss 2.07842, accuracy 0.3125, precision [0.0, 0.0, 0.0, 1.0, 0.4, nan, 0.0, 1.0, nan], recall [0.0, 0.0, nan, 0.25, 0.6666666666666666, nan, nan, 1.0, nan]
2019-02-19T19:56:02.100963: step 461, loss 1.86431, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.7142857142857143, 0.0, nan, nan, 0.0, 0.0], recall [0.0, 0.0, nan, 0.45454545454545453, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:56:02.250245: step 462, loss 1.49852, accuracy 0.4375, precision [0.5, 0.3333333333333333, 0.0, 0.5714285714285714, 0.5, nan, nan, nan, nan], recall [0.5, 1.0, 0.0, 0.4444444444444444, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:56:02.400968: step 463, loss 1.74241, accuracy 0.375, precision [0.3333333333333333, 0.0, 0.0, 1.0, 0.0, nan, 0.0, 0.0, nan], recall [0.5, 0.0, nan, 0.45454545454545453, nan, nan, nan, nan, nan]
