hello
768
Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550603912

2019-02-19T19:18:48.252889: step 1, loss 17.5413, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.125, 1.0, 0.0, 0.0, nan, nan], recall [0.0, nan, 0.0, 1.0, 0.1111111111111111, 0.0, nan, nan, nan]
2019-02-19T19:25:41.481498: step 104, loss 5.22767, accuracy 0.3125, precision [0.0, 0.25, 0.0, 0.6666666666666666, 0.6666666666666666, nan, nan, 0.0, 0.0], recall [0.0, 0.3333333333333333, nan, 0.3333333333333333, 0.5, nan, 0.0, 0.0, nan]
2019-02-19T19:25:45.476642: step 105, loss 4.60317, accuracy 0.375, precision [0.0, 0.6666666666666666, nan, 0.42857142857142855, nan, nan, nan, 0.5, 0.0], recall [0.0, 0.5, nan, 0.75, 0.0, nan, nan, 0.25, nan]
2019-02-19T19:25:49.472490: step 106, loss 6.39627, accuracy 0.3125, precision [0.5, nan, 1.0, 0.16666666666666666, 0.6666666666666666, 0.0, nan, 0.0, 0.0], recall [1.0, 0.0, 1.0, 0.3333333333333333, 0.4, 0.0, 0.0, 0.0, nan]
2019-02-19T19:25:53.473612: step 107, loss 3.42025, accuracy 0.375, precision [1.0, 0.5, nan, 0.42857142857142855, 0.5, nan, nan, 0.0, nan], recall [0.3333333333333333, 0.3333333333333333, nan, 0.5, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:25:57.470449: step 108, loss 5.04641, accuracy 0.375, precision [0.3333333333333333, 0.0, 0.0, 0.6, 1.0, 0.0, 0.0, 1.0, nan], recall [0.5, nan, nan, 0.5, 0.2, nan, nan, 0.3333333333333333, nan]
2019-02-19T19:26:01.474008: step 109, loss 4.21874, accuracy 0.3125, precision [0.0, 0.25, nan, 0.375, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.5, nan, 0.6, 0.25, nan, 0.0, 0.0, nan]
2019-02-19T19:26:05.509191: step 110, loss 3.13177, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.7142857142857143, 0.0, nan, nan, 0.5, nan], recall [0.0, nan, 0.0, 0.625, nan, nan, nan, 0.2, nan]
2019-02-19T19:26:09.503227: step 111, loss 2.47142, accuracy 0.5625, precision [0.0, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0, 0.0, nan, 0.5, nan], recall [0.0, 1.0, 1.0, 0.3333333333333333, 0.75, nan, nan, 0.5, nan]
2019-02-19T19:26:13.510664: step 112, loss 4.22687, accuracy 0.4375, precision [nan, 1.0, 0.0, 0.5454545454545454, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.3333333333333333, nan, 0.75, nan, nan, 0.0, nan, nan]
2019-02-19T19:26:17.506513: step 113, loss 4.70206, accuracy 0.25, precision [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, nan, nan, 0.4444444444444444, nan, 0.0, nan, 0.0, 0.0]
2019-02-19T19:26:21.502848: step 114, loss 4.21747, accuracy 0.4375, precision [0.3333333333333333, 0.0, 0.5, 0.6666666666666666, 0.5, 1.0, nan, nan, 0.0], recall [0.5, 0.0, 1.0, 0.2857142857142857, 1.0, 1.0, nan, nan, nan]
2019-02-19T19:26:25.510791: step 115, loss 6.39538, accuracy 0.125, precision [0.0, 0.0, nan, 0.5, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.25, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:26:29.515592: step 116, loss 4.05321, accuracy 0.1875, precision [0.0, 0.3333333333333333, nan, 0.14285714285714285, 0.3333333333333333, 0.0, nan, nan, nan], recall [0.0, 0.3333333333333333, 0.0, 0.25, 1.0, nan, nan, 0.0, 0.0]
2019-02-19T19:26:33.518114: step 117, loss 5.63471, accuracy 0.1875, precision [0.0, 0.5, 0.0, 0.5, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.16666666666666666, 0.0, 0.4, nan, 0.0, nan, nan, nan]
2019-02-19T19:26:37.516144: step 118, loss 4.25715, accuracy 0.1875, precision [0.0, 0.3333333333333333, 0.0, 0.4, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.6666666666666666, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:26:41.517604: step 119, loss 4.21105, accuracy 0.375, precision [0.0, 0.5, 0.0, 0.5, 0.75, 0.0, 0.0, nan, 0.0], recall [0.0, 0.3333333333333333, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:26:45.518058: step 120, loss 4.39277, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5, nan, nan, 0.25, nan], recall [0.0, 0.3333333333333333, 0.0, 0.25, 0.3333333333333333, 0.0, nan, 0.5, nan]
2019-02-19T19:26:49.523709: step 121, loss 2.87284, accuracy 0.375, precision [0.25, 1.0, 0.5, 0.5, 1.0, nan, nan, 0.0, nan], recall [0.3333333333333333, 0.3333333333333333, 0.5, 0.6666666666666666, 0.3333333333333333, 0.0, nan, nan, 0.0]
2019-02-19T19:26:53.648319: step 122, loss 2.94887, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.4, 0.75, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.6666666666666666, 0.75, 0.0, nan, 0.0, 0.0]
2019-02-19T19:26:57.661812: step 123, loss 4.02787, accuracy 0.3125, precision [nan, 0.0, 1.0, 0.4, 0.6666666666666666, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.5, 0.3333333333333333, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T19:27:01.663544: step 124, loss 4.06978, accuracy 0.3125, precision [0.0, 0.5, 0.0, 0.6, 0.5, 0.0, 0.0, 0.0, 0.0], recall [nan, 0.3333333333333333, 0.0, 0.75, 0.25, 0.0, nan, 0.0, 0.0]
2019-02-19T19:27:05.660882: step 125, loss 4.21035, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.14285714285714285, 1.0, nan, 0.0, 0.5, nan], recall [nan, nan, nan, 1.0, 0.07692307692307693, nan, nan, 0.5, nan]
2019-02-19T19:27:09.661450: step 126, loss 3.45387, accuracy 0.375, precision [1.0, nan, nan, 0.5, 0.25, 0.0, 0.0, 0.3333333333333333, nan], recall [0.5, 0.0, 0.0, 0.5, 1.0, nan, nan, 0.25, nan]
2019-02-19T19:27:13.668993: step 127, loss 2.0688, accuracy 0.5625, precision [1.0, 0.0, nan, 0.625, 0.0, nan, nan, 1.0, nan], recall [1.0, nan, nan, 0.7142857142857143, nan, nan, nan, 0.2857142857142857, nan]
2019-02-19T19:27:17.684907: step 128, loss 4.28868, accuracy 0.3125, precision [1.0, 0.0, 0.0, 0.6, 0.25, nan, nan, 0.0, 0.0], recall [0.5, nan, 0.0, 0.3, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:27:21.693830: step 129, loss 2.94122, accuracy 0.4375, precision [0.3333333333333333, 0.5, 0.0, 1.0, 0.3333333333333333, nan, nan, 0.6666666666666666, 0.0], recall [0.5, 0.25, 0.0, 0.4, 1.0, nan, nan, 0.6666666666666666, nan]
2019-02-19T19:27:25.696565: step 130, loss 3.21422, accuracy 0.3125, precision [0.0, 0.0, nan, 0.5, 0.25, nan, 0.0, 0.6666666666666666, nan], recall [0.0, 0.0, 0.0, 0.25, 1.0, nan, nan, 0.6666666666666666, nan]
2019-02-19T19:27:29.705859: step 131, loss 2.99706, accuracy 0.375, precision [0.0, nan, 0.0, 1.0, 0.2, nan, 0.5, 0.5, 0.5], recall [nan, nan, 0.0, 0.4, 0.3333333333333333, 0.0, 1.0, 0.25, 1.0]
2019-02-19T19:27:33.705219: step 132, loss 3.99817, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.8, 1.0, 0.0, 0.0, 0.0, nan], recall [0.0, nan, nan, 0.4444444444444444, 1.0, nan, nan, 0.0, 0.0]
2019-02-19T19:27:37.707294: step 133, loss 4.24127, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.25, 0.75, 0.0, nan, nan, 1.0], recall [0.0, 0.0, 0.0, 0.16666666666666666, 0.75, nan, nan, 0.0, 1.0]
2019-02-19T19:27:41.808410: step 134, loss 4.4893, accuracy 0.125, precision [nan, 0.0, 0.0, 0.2, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.25, 0.3333333333333333, nan, 0.0, nan, 0.0]
2019-02-19T19:27:45.836809: step 135, loss 3.82483, accuracy 0.3125, precision [0.5, nan, nan, 0.3333333333333333, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [0.5, nan, nan, 0.42857142857142855, 0.25, nan, 0.0, 0.0, 0.0]
2019-02-19T19:27:49.842495: step 136, loss 3.58599, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.16666666666666666, 1.0, 0.0, 1.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.16666666666666666, 1.0, 0.0, 1.0, nan, nan]
2019-02-19T19:27:53.838937: step 137, loss 4.74994, accuracy 0.25, precision [0.0, 0.25, nan, 0.3333333333333333, 0.5, nan, nan, 0.2, 0.0], recall [nan, 1.0, 0.0, 0.14285714285714285, 0.3333333333333333, nan, 0.0, 0.5, nan]
2019-02-19T19:27:57.839967: step 138, loss 5.21612, accuracy 0.25, precision [0.0, 0.0, nan, 0.0, 0.6666666666666666, nan, 0.5, nan, 0.25], recall [0.0, 0.0, nan, 0.0, 0.4, nan, 1.0, nan, 0.25]
2019-02-19T19:28:01.839477: step 139, loss 3.06661, accuracy 0.5, precision [0.0, nan, 0.6666666666666666, 0.5, 0.75, 0.3333333333333333, nan, nan, 0.0], recall [0.0, 0.0, 1.0, 0.5, 1.0, 0.3333333333333333, nan, 0.0, 0.0]
2019-02-19T19:28:05.841732: step 140, loss 3.6272, accuracy 0.375, precision [1.0, 1.0, 0.5, 0.3333333333333333, 0.0, nan, 0.0, 0.5, nan], recall [0.5, 0.5, 1.0, 0.6666666666666666, 0.0, 0.0, nan, 1.0, 0.0]
2019-02-19T19:28:09.840256: step 141, loss 3.81925, accuracy 0.1875, precision [nan, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, nan], recall [0.0, nan, 1.0, 0.0, 0.5, 0.0, nan, nan, 0.0]
2019-02-19T19:28:13.841668: step 142, loss 1.66653, accuracy 0.3125, precision [1.0, 0.16666666666666666, nan, 0.0, 1.0, 0.0, nan, 0.0, nan], recall [0.5, 1.0, 0.0, 0.0, 0.75, 0.0, nan, nan, 0.0]
2019-02-19T19:28:17.852208: step 143, loss 4.83625, accuracy 0.25, precision [nan, 0.0, 1.0, 0.2857142857142857, 1.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.3333333333333333, 0.5, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T19:28:21.850302: step 144, loss 3.67393, accuracy 0.3125, precision [0.0, 0.0, 1.0, 0.5, nan, 0.0, nan, 0.0, nan], recall [nan, 0.0, 1.0, 0.6666666666666666, 0.0, 0.0, 0.0, nan, 0.0]
2019-02-19T19:28:25.849888: step 145, loss 2.09063, accuracy 0.4375, precision [nan, 0.5, 0.0, 0.5, 0.5, nan, nan, 0.0, nan], recall [nan, 0.4, 0.0, 0.8, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T19:28:29.972125: step 146, loss 2.62022, accuracy 0.25, precision [0.3333333333333333, nan, 0.5, 0.2, nan, 0.0, 0.5, 0.0, 0.0], recall [1.0, 0.0, 0.5, 0.25, 0.0, 0.0, 1.0, nan, 0.0]
2019-02-19T19:28:33.982449: step 147, loss 1.23736, accuracy 0.5, precision [nan, 1.0, 0.0, 0.5555555555555556, 0.0, 0.0, nan, nan, nan], recall [0.0, 0.5, nan, 0.625, nan, nan, nan, nan, nan]
2019-02-19T19:28:37.981051: step 148, loss 3.94267, accuracy 0.3125, precision [0.0, 0.0, 0.0, 1.0, 0.6, nan, 0.0, 0.0, 0.0], recall [nan, 0.0, nan, 0.2222222222222222, 1.0, nan, nan, 0.0, nan]
2019-02-19T19:28:41.977721: step 149, loss 2.36398, accuracy 0.4375, precision [1.0, 0.0, nan, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, nan], recall [1.0, nan, nan, 0.5, 0.5, nan, nan, nan, 0.0]
2019-02-19T19:28:45.990403: step 150, loss 2.25894, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.5714285714285714, 0.0, nan, nan, 0.5, nan], recall [nan, 0.0, 0.0, 0.36363636363636365, nan, nan, nan, 0.3333333333333333, nan]
2019-02-19T19:28:50.004514: step 151, loss 2.36749, accuracy 0.4375, precision [nan, 0.3333333333333333, 0.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.3333333333333333, nan, 0.5555555555555556, 0.3333333333333333, nan, 0.0, nan, nan]
2019-02-19T19:28:54.016458: step 152, loss 2.21733, accuracy 0.375, precision [nan, 0.0, 1.0, 0.3333333333333333, 0.5, nan, 0.5, 0.0, 0.0], recall [nan, 0.0, 0.25, 0.6666666666666666, 0.5, nan, 1.0, 0.0, nan]
2019-02-19T19:28:58.031065: step 153, loss 2.22266, accuracy 0.5, precision [0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.0, nan, nan, nan], recall [nan, nan, nan, 0.5454545454545454, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:29:02.052969: step 154, loss 3.35752, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.4, 1.0, 0.5, 0.0, nan, nan], recall [nan, 1.0, 0.0, 0.25, 0.5, 1.0, nan, 0.0, nan]
2019-02-19T19:29:06.051034: step 155, loss 2.36424, accuracy 0.5625, precision [0.0, 0.25, nan, 1.0, 0.6666666666666666, nan, nan, 1.0, nan], recall [nan, 0.3333333333333333, nan, 0.5714285714285714, 1.0, 0.0, nan, 0.6666666666666666, nan]
2019-02-19T19:29:10.067176: step 156, loss 3.52988, accuracy 0.25, precision [1.0, 0.0, 0.0, 0.5, nan, 0.0, 0.0, 0.0, 0.0], recall [1.0, nan, 0.0, 0.42857142857142855, 0.0, nan, 0.0, 0.0, 0.0]
2019-02-19T19:29:14.197919: step 157, loss 3.65809, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.4, 0.0, nan, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, nan, nan]
2019-02-19T19:29:18.219160: step 158, loss 3.96537, accuracy 0.125, precision [0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, nan, nan, nan, 0.0], recall [0.0, 0.0, 0.3333333333333333, 0.0, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T19:29:22.219070: step 159, loss 2.70897, accuracy 0.375, precision [1.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 1.0, 0.0, nan], recall [1.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.5, nan, 0.0]
2019-02-19T19:29:26.230620: step 160, loss 3.02403, accuracy 0.4375, precision [0.0, 0.0, 0.5, 0.4, 0.8, 0.0, nan, nan, nan], recall [nan, 0.0, 0.5, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, nan]
2019-02-19T19:29:30.232626: step 161, loss 2.25168, accuracy 0.25, precision [nan, nan, 0.0, 0.14285714285714285, 1.0, nan, nan, 0.0, nan], recall [0.0, nan, 0.0, 0.3333333333333333, 0.5, nan, 0.0, nan, 0.0]
2019-02-19T19:29:34.239383: step 162, loss 3.30263, accuracy 0.1875, precision [0.3333333333333333, 0.0, 0.0, 0.2222222222222222, 0.0, nan, nan, nan, nan], recall [1.0, 0.0, 0.0, 0.4, 0.0, nan, 0.0, 0.0, 0.0]
2019-02-19T19:29:38.247962: step 163, loss 3.10024, accuracy 0.375, precision [0.0, 0.3333333333333333, nan, 0.5, 0.6666666666666666, 0.0, 1.0, 0.0, nan], recall [0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.6666666666666666, nan, 1.0, nan, nan]
2019-02-19T19:29:42.267321: step 164, loss 3.93601, accuracy 0.1875, precision [0.0, 0.5, 0.3333333333333333, 0.25, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.25, 0.5, 0.25, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:29:46.269960: step 165, loss 3.22949, accuracy 0.375, precision [1.0, nan, 0.3333333333333333, 0.3333333333333333, 0.5, nan, 0.0, nan, 0.0], recall [1.0, 0.0, 1.0, 0.6666666666666666, 0.4, nan, nan, 0.0, nan]
2019-02-19T19:29:50.277256: step 166, loss 1.59934, accuracy 0.5, precision [nan, 0.5, 0.5, 0.75, 0.3333333333333333, nan, 1.0, 0.0, 0.0], recall [0.0, 0.25, 0.6666666666666666, 0.6, 1.0, nan, 1.0, 0.0, nan]
2019-02-19T19:29:54.278674: step 167, loss 1.99345, accuracy 0.5, precision [0.5, 0.6666666666666666, 0.0, 0.6666666666666666, 0.42857142857142855, nan, nan, nan, nan], recall [1.0, 0.5, 0.0, 0.3333333333333333, 1.0, 0.0, nan, nan, nan]
2019-02-19T19:29:58.286803: step 168, loss 2.50213, accuracy 0.4375, precision [0.3333333333333333, nan, 1.0, 0.8333333333333334, 0.0, 0.0, nan, 0.0, nan], recall [1.0, 0.0, 0.5, 0.7142857142857143, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T19:30:02.384012: step 169, loss 2.76919, accuracy 0.375, precision [0.0, 0.0, 1.0, 0.75, 0.6666666666666666, nan, 0.0, 0.0, 0.0], recall [nan, 0.0, 0.5, 0.42857142857142855, 0.6666666666666666, nan, nan, 0.0, 0.0]
2019-02-19T19:30:06.412192: step 170, loss 2.36765, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.2, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.2, 0.6666666666666666, nan, nan, nan, nan]
2019-02-19T19:30:10.407023: step 171, loss 3.21245, accuracy 0.25, precision [nan, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, nan], recall [0.0, 0.0, 0.6666666666666666, 0.16666666666666666, 0.0, nan, nan, 0.5, 0.0]
2019-02-19T19:30:14.402213: step 172, loss 2.08649, accuracy 0.5, precision [0.0, 1.0, 1.0, 0.6, 0.5, 0.0, 0.0, 1.0, nan], recall [0.0, 0.5, 0.5, 0.75, 0.6666666666666666, nan, nan, 0.3333333333333333, 0.0]
2019-02-19T19:30:18.400676: step 173, loss 3.16741, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.4, 0.6666666666666666, nan, 0.0, 0.5, nan], recall [nan, nan, 0.0, 0.5, 0.4, 0.0, 0.0, 0.5, nan]
2019-02-19T19:30:22.395754: step 174, loss 1.69845, accuracy 0.4375, precision [0.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.0, nan, 0.0, nan], recall [0.0, 1.0, 0.5, 0.42857142857142855, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T19:30:26.400101: step 175, loss 3.1888, accuracy 0.3125, precision [nan, 0.0, 1.0, 0.4, 0.5, nan, 0.0, 0.3333333333333333, nan], recall [0.0, nan, 1.0, 0.4, 0.2, nan, nan, 0.3333333333333333, nan]
2019-02-19T19:30:30.394411: step 176, loss 3.43124, accuracy 0.25, precision [0.0, 1.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0], recall [0.0, 1.0, 0.0, 0.4, 0.25, nan, nan, nan, 0.0]
2019-02-19T19:30:34.393274: step 177, loss 2.50506, accuracy 0.375, precision [0.0, 0.25, 1.0, 0.25, 1.0, nan, 0.0, 0.5, 0.0], recall [0.0, 1.0, 0.5, 1.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0]
2019-02-19T19:30:38.392274: step 178, loss 2.78969, accuracy 0.25, precision [nan, 0.0, 0.0, 0.5714285714285714, 0.0, nan, 0.0, 0.0, nan], recall [0.0, nan, 0.0, 0.6666666666666666, nan, 0.0, 0.0, 0.0, 0.0]
2019-02-19T19:30:42.398106: step 179, loss 2.76306, accuracy 0.125, precision [0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 0.0, nan, nan], recall [0.0, 0.3333333333333333, 0.2, nan, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:30:46.395974: step 180, loss 2.20986, accuracy 0.375, precision [0.0, 0.3333333333333333, 0.6666666666666666, 0.2, 0.6666666666666666, nan, nan, 0.0, nan], recall [nan, 0.3333333333333333, 0.4, 0.5, 0.6666666666666666, 0.0, nan, 0.0, nan]
2019-02-19T19:30:50.526374: step 181, loss 3.74577, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, nan, 0.0, 0.0]
2019-02-19T19:30:54.541107: step 182, loss 2.99895, accuracy 0.3125, precision [0.0, 0.5, 0.0, 0.6, 0.0, 0.0, 0.5, nan, nan], recall [0.0, 0.5, nan, 0.6, 0.0, 0.0, 1.0, 0.0, 0.0]
2019-02-19T19:30:58.543847: step 183, loss 2.25025, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.42857142857142855, nan, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.42857142857142855, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:31:02.555094: step 184, loss 3.42235, accuracy 0.1875, precision [0.0, 0.3333333333333333, nan, 0.3333333333333333, nan, nan, nan, 0.0, 0.0], recall [0.0, 0.3333333333333333, nan, 0.4, 0.0, 0.0, 0.0, nan, 0.0]
2019-02-19T19:31:06.566036: step 185, loss 3.0473, accuracy 0.25, precision [0.0, nan, nan, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.5, 1.0, nan, 0.0, nan, nan]
2019-02-19T19:31:10.569640: step 186, loss 3.4268, accuracy 0.1875, precision [0.0, 0.25, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.25, 0.0, 0.2857142857142857, nan, nan, nan, 0.0, nan]
2019-02-19T19:31:14.579209: step 187, loss 3.12609, accuracy 0.3125, precision [nan, 1.0, 0.0, 0.6666666666666666, 0.0, nan, nan, 0.0, nan], recall [0.0, 1.0, nan, 0.5714285714285714, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:31:18.586507: step 188, loss 2.34946, accuracy 0.4375, precision [0.0, 0.0, 1.0, 0.8333333333333334, 0.0, 0.0, 0.0, 1.0, nan], recall [0.0, 0.0, 1.0, 0.45454545454545453, nan, nan, nan, 0.5, nan]
2019-02-19T19:31:22.598702: step 189, loss 1.78836, accuracy 0.4375, precision [0.0, 0.6666666666666666, nan, 0.625, nan, 0.0, nan, 0.0, nan], recall [nan, 0.6666666666666666, nan, 0.45454545454545453, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:31:26.606258: step 190, loss 3.65335, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.25, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.09090909090909091, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:31:30.604482: step 191, loss 2.75039, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.4, 0.0, 0.0, 0.5, nan], recall [nan, 0.0, nan, 0.25, 1.0, 0.0, nan, 1.0, nan]
2019-02-19T19:31:34.606103: step 192, loss 2.22506, accuracy 0.375, precision [nan, 0.0, 0.0, 1.0, 0.5, nan, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.375, 0.75, nan, nan, nan, 0.0]
2019-02-19T19:31:38.708143: step 193, loss 2.81904, accuracy 0.375, precision [0.0, 1.0, 0.0, 0.5, 0.0, nan, 0.5, 0.5, 0.0], recall [nan, 0.5, nan, 0.2222222222222222, nan, 0.0, 1.0, 1.0, nan]
2019-02-19T19:31:42.728401: step 194, loss 1.89889, accuracy 0.4375, precision [0.0, 1.0, 0.0, 0.75, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.6666666666666666, 0.0, 0.5, 0.6666666666666666, 0.0, nan, 0.0, nan]
2019-02-19T19:31:46.737019: step 195, loss 2.23569, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.0, 0.5, nan, nan, 0.3333333333333333, 0.0], recall [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, nan, nan, 0.2, nan]
2019-02-19T19:31:50.733809: step 196, loss 2.46743, accuracy 0.5, precision [0.0, 0.3333333333333333, 0.4, 1.0, 1.0, nan, 0.0, nan, nan], recall [nan, 1.0, 1.0, 0.4, 0.75, nan, 0.0, 0.0, nan]
2019-02-19T19:31:54.739062: step 197, loss 2.0002, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.4, 0.6666666666666666, 0.0, 0.0, 1.0, 0.0], recall [nan, 0.0, nan, 0.5, 0.4, 0.0, nan, 0.25, nan]
2019-02-19T19:31:58.737283: step 198, loss 2.3236, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.4, 0.25, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.5, 0.3333333333333333, nan, 0.0, 0.0, nan]
2019-02-19T19:32:02.735254: step 199, loss 2.84627, accuracy 0.1875, precision [0.0, 0.3333333333333333, 0.0, 0.0, 1.0, 0.0, 0.0, nan, 0.0], recall [0.0, 1.0, nan, 0.0, 0.2857142857142857, nan, nan, 0.0, nan]
2019-02-19T19:32:06.725258: step 200, loss 3.03424, accuracy 0.25, precision [0.0, 1.0, nan, 0.2, 0.0, 0.0, nan, 0.4, 0.0], recall [nan, 0.5, 0.0, 0.5, 0.0, nan, nan, 0.4, nan]
2019-02-19T19:32:10.736636: step 201, loss 2.664, accuracy 0.3125, precision [0.0, 0.0, nan, 0.16666666666666666, 1.0, 0.0, 0.0, nan, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.8, 0.0, nan, 0.0, nan]
2019-02-19T19:32:14.746425: step 202, loss 2.622, accuracy 0.1875, precision [nan, 0.5, 0.0, 0.3333333333333333, 0.25, 0.0, 0.0, nan, nan], recall [0.0, 0.2, nan, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, nan]
2019-02-19T19:32:18.749647: step 203, loss 1.9462, accuracy 0.4375, precision [0.3333333333333333, 0.3333333333333333, 0.0, 0.42857142857142855, 1.0, nan, nan, nan, nan], recall [1.0, 1.0, 0.0, 0.6, 0.4, 0.0, nan, 0.0, nan]
2019-02-19T19:32:22.747208: step 204, loss 2.17747, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, nan, nan, nan, nan], recall [0.0, 0.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 0.0, 0.0]
2019-02-19T19:32:26.872020: step 205, loss 2.48101, accuracy 0.3125, precision [nan, 0.5, 0.25, 0.2857142857142857, 1.0, nan, nan, 0.0, 0.0], recall [0.0, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T19:32:30.885060: step 206, loss 2.29545, accuracy 0.375, precision [0.0, 0.0, 0.0, 0.5, 0.75, 0.0, 1.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 1.0, nan, 1.0, 0.0, 0.0]
